Common Names,Scientific Names,Family 
Bandtail Puffer,Sphoeroides spengleri,Tetraodontidae
Barred Hamlet,Hypoplectrus puella,Serranidae
Beaugregory Damselfish,Stegastes leucostictus,Pomacentridae
Bicolor Damselfish,Stegastes partitus,Pomacentridae
Big Eyed Scad,Selar crumenophthalmus,Carangidae
Black Bar Solider,Myripristis jacobus,Holocentridae
Blue Tang ,Acanthurus coeruleus,Acanthuridae
Blue Runner,Caranx crysos,Carangidae
Bluehead Wrasse,Thalassoma bifasciatum,Labridae
Bluelip Parrotfish,Scarus coeruleus,Scaridae
Bridled Goby,Coryphopterus glaucofraenum ,Gobiidae
Bucktooth Parrotfish,Sparisoma radians,Scaridae
Butter Hamlet,Hypoplectrus unicolor,Serranidae
Butterflyfish Species,,Chaetodontidae
Chalk Bass,Serranus tortugarum ,Serranidae
Cocoa Damselfish,Stegastes xanthurus,Pomacentridae
Colon Goby,Coryphopterus alloides,Gobiidae
Cubera Snapper ,Lutjanus cyanopterus,Lutjanidae
Doctor Fish,Acanthurus chirurgus,Acanthuridae
Dwarf Sand Perch,Diplectrum bivittatum,Serranidae
Flying Gurnard,Dactylopterus volitan,Dactylopteridae
French Grunt,Haemulon flavolineatum,Haemulidae
Hamlet Species,,Serranidae
Hovering Dartfish,Ptereleotris helenae ,Gobiidae
Greenblotch Parrotfish,Sparisoma atomarium,Scaridae
Goldline Blenny,Malacoctenus aurolineatus,Labrisomidae
Green Razorfish,Xyrichtys splendens,Labridae
Lane Snapper,Lutjanus synagris,Lutjanidae
Masked Goby,Coryphopterus personatus,Gobiidae
Ocean Surgeonfish,Acanthurus bahianus,Acanthuridae
Pipefish Species,,Syngnathidae
Princess Parrotfish,Scarus taeniopterus,Scaridae
Razorfish Species ,,Labridae
Redband Parrotfish,Sparisoma aurofrenatum,Scaridae
Rosy Blenny,Malacoctenus macropus,Labrisomidae
Rosy Razerfish,Xyrichtys martinicensis,Labridae
Sharpnose Puffer,Canthigaster rostrata ,Tetraodontidae
Slender Filefish,Monacanthus tuckeri,Monacanthidae
Slippery Dick ,Halichoeres bivittatus,Labridae
Smooth Puffer,Lagocephalus laevigatus ,Tetraodontidae
Spanish Grunt,Haemulon macrostomum,Haemulidae
Stoplight Parrotfish,Sparisoma viride ,Scaridae
Striped Parrotfish,Scarus iseri,Scaridae
Tobacco Fish,Serranus tabacarius,Serranidae
Trumpet,Aulostromus maculatus ,Aulostomidae 
unknown,,
unknown blenny,,Clinidae
unknown goby,,Gobiidae
Yellowhead Jawfish,Opistognathus aurifrons,Opistognathidae
Yellowhead Wrasse,Halichoeres garnoti,Labridae
Yellowtail Snapper,Ocyurus chrysurus,Lutjanidae