Row Labels,Average of NumShoots,,,,,
2009,28.4,,,,,
1,28.4,,,,,
2010,3.6,,,,,
1,0.9,,,,,
2,4.2,,,,,
3,2,,,,,
4,2.8,,,,,
5,2.5,,,,,
6,12.3,,,,,
7,0.5,,,,,
2011,1.392307692,,,,,
1,11,,,,,
2,2.3,,,,,
3,0,,,,,
4,1.6,,,,,
5,0,,0.9,,,
6,0.7,,2,2010,2,4.2
7,0.1,,3,2010,3,2
8,1,,4,2010,4,2.8
9,0.4,,5,2010,5,2.5
10,0,,6,2010,6,12.3
11,0.6,,7,2010,7,0.5
12,0.4,,8,2011,1,11
13,0,,9,2011,2,2.3
2012,18.38888889,,10,2011,3,0
1,27.7,,11,2011,4,1.6
2,19.7,,12,2011,5,0
3,11.6,,13,2011,6,0.7
4,28.8,,14,2011,7,0.1
6,15.4,,15,2011,8,1
7,0,,16,2011,9,0.4
8,13.5,,17,2011,10,0
9,24.4,,18,2011,11,0.6
2013,21.375,,19,2011,12,0.4
1,15.3,,20,2011,13,0
2,24.7,,21,2012,1,27.7
3,33.1,,22,2012,2,19.7
4,34.9,,23,2012,3,11.6
5,25.8,,24,2012,4,28.8
6,33.7,,25,2012,6,15.4
7,5.3,,26,2012,7,0
8,13.8,,27,2012,8,13.5
9,10.5,,28,2012,9,24.4
10,14,,29,2013,1,15.3
11,19.1,,30,2013,2,24.7
12,26.3,,31,2013,3,33.1
2014,22.21666667,,32,2013,4,34.9
1,0,,33,2013,5,25.8
2,29.7,,34,2013,6,33.7
3,28.4,,35,2013,7,5.3
4,34,,36,2013,8,13.8
5,19.4,,37,2013,9,10.5
6,21.8,,38,2013,10,14
2015,21.7,,39,2013,11,19.1
1,12,,40,2013,12,26.3
2,15.2,,41,2014,1,0
3,5.2,,42,2014,2,29.7
4,30,,43,2014,3,28.4
5,30,,44,2014,4,34
6,31.9,,45,2014,5,19.4
7,11.3,,46,2014,6,21.8
8,10.8,,47,2015,1,12
9,5.1,,48,2015,2,15.2
10,15.2,,49,2015,3,5.2
11,71.9,,50,2015,4,30
12,21.8,,51,2015,5,30
2016,40.31,,52,2015,6,31.9
1,36.4,,53,2015,7,11.3
2,23.5,,54,2015,8,10.8
3,38.7,,55,2015,9,5.1
4,60.8,,56,2015,10,15.2
5,83.1,,57,2015,11,71.9
6,32,,58,2015,12,21.8
7,36.3,,59,2016,1,36.4
8,29.7,,60,2016,2,23.5
9,32.66666667,,61,2016,3,38.7
10,30.18181818,,62,2016,4,60.8
2017,10.58426966,,63,2016,5,83.1
1,27,,64,2016,6,32
2,5.9,,65,2016,7,36.3
3,0,,66,2016,8,29.7
4,20.1,,67,2016,9,32.666667
5,3.2,,68,2016,10,30.181818
6,0.1,,69,2017,1,27
7,31.88888889,,70,2017,2,5.9
8,4.4,,71,2017,3,0
9,4.8,,72,2017,4,20.1
2018,15.87955056,,73,2017,5,3.2
1,33.472,,74,2017,6,0.1
2,15.312,,75,2017,7,31.888889
3,6.224,,76,2017,8,4.4
4,25.28,,77,2017,9,4.8
5,16.112,,78,2018,1,33.472
6,0,,79,2018,2,15.312
7,20.048,,80,2018,3,6.224
8,12.192,,81,2018,4,25.28
9,14.09777778,,82,2018,5,16.112
2019,24.68181818,,83,2018,6,0
1,26.375,,84,2018,7,20.048
2,19,,85,2018,8,12.192
3,15.3,,86,2018,9,14.097778
4,34.6,,87,2019,1,26.375
5,33.7,,88,2019,2,19
6,32.7,,89,2019,3,15.3
7,27.3,,90,2019,4,34.6
8,16.1,,91,2019,5,33.7
9,17.4,,92,2019,6,32.7
2020,10.71111111,,93,2019,7,27.3
1,11,,94,2019,8,16.1
2,12,,95,2019,9,17.4
3,14.8,,96,2020,1,11
4,15.6,,97,2020,2,12
5,10.6,,98,2020,3,14.8
6,14.6,,99,2020,4,15.6
7,6.3,,100,2020,5,10.6
8,8.3,,101,2020,6,14.6
9,3.2,,102,2020,7,6.3
2021,27.84,,103,2020,8,8.3
1,44.7,,104,2020,9,3.2
2,46.9,,105,2021,1,44.7
3,49.1,,106,2021,2,46.9
4,6.8,,107,2021,3,49.1
5,4.6,,108,2021,4,6.8
6,8.8,,109,2021,5,4.6
7,35.6,,110,2021,6,8.8
8,31.4,,111,2021,7,35.6
9,17.4,,112,2021,8,31.4
10,33.1,,113,2021,9,17.4
2022,8.596638655,,114,2021,10,33.1
1,4.555555556,,115,2022,1,4.555556
2,3.8,,116,2022,2,3.8
3,1.8,,117,2022,3,1.8
4,14.5,,118,2022,4,14.5
5,10.9,,119,2022,5,10.9
6,7.9,,120,2022,6,7.9
7,6.5,,121,2022,7,6.5
8,11.3,,122,2022,8,11.3
9,6.6,,123,2022,9,6.6
10,13.9,,124,2022,10,13.9
11,12.1,,125,2022,11,12.1
12,8.9,,126,2022,12,8.9
Grand Total,17.41433725,,"Showing 114 to 126 of 126 entries, 3 total columns",,,